2026-03-26 17:41:16 | INFO     | utils.database:_init_database:149 | Database tables initialized
2026-03-26 17:41:16 | INFO     | utils.database:__init__:26 | DatabaseManager initialized: data/trading.db
2026-03-26 17:41:16 | INFO     | utils.audit:__init__:50 | AuditLogger initialized
2026-03-26 17:41:16 | INFO     | __main__:__init__:63 | Crypto Trading AI initialized
2026-03-26 17:42:05 | INFO     | utils.database:_init_database:149 | Database tables initialized
2026-03-26 17:42:05 | INFO     | utils.database:__init__:26 | DatabaseManager initialized: data/trading.db
2026-03-26 17:42:05 | INFO     | utils.audit:__init__:50 | AuditLogger initialized
2026-03-26 17:42:05 | INFO     | __main__:__init__:63 | Crypto Trading AI initialized
2026-03-26 17:45:21 | INFO     | utils.database:_init_database:149 | Database tables initialized
2026-03-26 17:45:21 | INFO     | utils.database:__init__:26 | DatabaseManager initialized: data/trading.db
2026-03-26 17:45:21 | INFO     | utils.audit:__init__:50 | AuditLogger initialized
2026-03-26 17:45:21 | INFO     | __main__:__init__:63 | Crypto Trading AI initialized
2026-03-26 17:46:12 | INFO     | utils.database:_init_database:149 | Database tables initialized
2026-03-26 17:46:12 | INFO     | utils.database:__init__:26 | DatabaseManager initialized: data/trading.db
2026-03-26 17:46:12 | INFO     | utils.audit:__init__:50 | AuditLogger initialized
2026-03-26 17:46:12 | INFO     | __main__:__init__:63 | Crypto Trading AI initialized
2026-03-26 17:49:38 | INFO     | utils.database:_init_database:149 | Database tables initialized
2026-03-26 17:49:38 | INFO     | utils.database:__init__:26 | DatabaseManager initialized: data/trading.db
2026-03-26 17:49:38 | INFO     | utils.audit:__init__:50 | AuditLogger initialized
2026-03-26 17:49:38 | INFO     | __main__:__init__:63 | Crypto Trading AI initialized
2026-03-26 17:56:28 | INFO     | utils.database:_init_database:149 | Database tables initialized
2026-03-26 17:56:28 | INFO     | utils.database:__init__:26 | DatabaseManager initialized: data/trading.db
2026-03-26 17:56:28 | INFO     | utils.audit:__init__:50 | AuditLogger initialized
2026-03-26 17:56:28 | INFO     | __main__:__init__:63 | Crypto Trading AI initialized
2026-03-26 17:56:30 | INFO     | utils.database:_init_database:149 | Database tables initialized
2026-03-26 17:56:30 | INFO     | utils.database:__init__:26 | DatabaseManager initialized: data/trading.db
2026-03-26 17:56:30 | INFO     | utils.audit:__init__:50 | AuditLogger initialized
2026-03-26 17:56:30 | INFO     | __main__:__init__:63 | Crypto Trading AI initialized
2026-03-26 18:00:18 | INFO     | utils.database:_init_database:149 | Database tables initialized
2026-03-26 18:00:18 | INFO     | utils.database:__init__:26 | DatabaseManager initialized: data/trading.db
2026-03-26 18:00:18 | INFO     | utils.audit:__init__:50 | AuditLogger initialized
2026-03-26 18:00:18 | INFO     | __main__:__init__:63 | Crypto Trading AI initialized
2026-03-26 18:02:20 | INFO     | utils.database:_init_database:149 | Database tables initialized
2026-03-26 18:02:20 | INFO     | utils.database:__init__:26 | DatabaseManager initialized: data/trading.db
2026-03-26 18:02:20 | INFO     | utils.audit:__init__:50 | AuditLogger initialized
2026-03-26 18:02:20 | INFO     | __main__:__init__:63 | Crypto Trading AI initialized
2026-03-26 18:17:45 | INFO     | utils.database:_init_database:149 | Database tables initialized
2026-03-26 18:17:45 | INFO     | utils.database:__init__:26 | DatabaseManager initialized: data/trading.db
